Key,Timestamp
'a',1728081401.0311205
'b',1728081402.2750409
'c',1728081403.687038
Key.space,1728081404.9531155
'w',1728081406.3733134
'h',1728081407.763564
'i',1728081409.625586
Key.space,1728081411.0032032
Key.backspace,1728081412.5251331
't',1728081413.7048
'l',1728081415.0639281
Key.space,1728081417.0508888
'd',1728081418.5231915
'u',1728081420.1691566
's',1728081421.745122
't',1728081423.227453
Key.space,1728081424.603364
'p',1728081426.237076
'o',1728081427.435525
'd',1728081428.8368487
'c',1728081430.4754512
'a',1728081431.7972562
's',1728081433.253558
't',1728081434.8138278
Key.space,1728081435.99122
'e',1728081437.7033694
'p',1728081439.0072515
'i',1728081440.4295313
's',1728081441.741622
'o',1728081443.0138488
'd',1728081444.4014146
'e',1728081445.673026
Key.space,1728081447.0791626
't',1728081448.241083
'e',1728081449.94953
'm',1728081451.1190145
'p',1728081452.4254432
'l',1728081454.3653939
Key.space,1728081455.6991124
'a',1728081456.8512373
't',1728081458.0111287
'e',1728081459.7076378
Key.space,1728081460.797296
'f',1728081466.193481
'r',1728081467.499237
'e',1728081468.8392272
'e',1728081470.5479925
Key.enter,1728081472.2675536
Key.ctrl,1728081480.3874683
'q',1728081480.852899
