timestamps
23.445
24.665
25.661
26.694
27.592
28.495
29.413
30.322
31.315
32.276
33.994
34.775
35.554
36.474
37.8
39.434
40.296
41.128
42.675
43.451
44.35
45.384
46.293
47.312
48.114
48.953
50.026
51.116
51.894
52.792
53.794
54.631
56.715
